timestamp;session;current;volt;soc;mwh;mode;charge phase;charge time;temperature;fault flags;flags;charge limit;startup count;harge profile
13734.963;;1.058;;;;;;;;;;;;
13745.964;;0.733;;;;;;;;;;;;
13756.965;;1.080;;;;;;;;;;;;
13767.963;;0.736;;;;;;;;;;;;
13778.963;;1.087;;;;;;;;;;;;
13789.963;;0.739;;;;;;;;;;;;
13800.963;;1.088;;;;;;;;;;;;
13811.963;;0.738;;;;;;;;;;;;
13912.965;4239;0.737;5.16;76;712085;1;0;0;29.8;0;7;88
13964.964;;0.725;;;;;;;;;;;;
14105.963;;0.738;;;;;;;;;;;;
14133.963;4239;0.734;5.16;77;712317;1;0;0;28.8;0;7;88
14162.966;;0.722;;;;;;;;;;;;
14173.965;;1.073;;;;;;;;;;;;
14184.963;;0.725;;;;;;;;;;;;
14195.963;;1.072;;;;;;;;;;;;
14206.963;;0.726;;;;;;;;;;;;
14227.965;;0.712;;;;;;;;;;;;
14238.963;;1.067;;;;;;;;;;;;
14255.963;;0.735;;;;;;;;;;;;
14266.964;;1.074;;;;;;;;;;;;
14295.965;;0.739;;;;;;;;;;;;
14306.964;;0.728;;;;;;;;;;;;
14317.963;;1.075;;;;;;;;;;;;
14328.964;;0.731;;;;;;;;;;;;
14339.965;;1.077;;;;;;;;;;;;
14350.965;;0.731;;;;;;;;;;;;
14365.965;;1.055;;;;;;;;;;;;
14376.965;;0.730;;;;;;;;;;;;
14425.965;;1.037;;;;;;;;;;;;
14436.964;;0.722;;;;;;;;;;;;
14447.971;;1.065;;;;;;;;;;;;
14458.965;;0.725;;;;;;;;;;;;
14475.965;;1.021;;;;;;;;;;;;
14486.965;;0.735;;;;;;;;;;;;
14505.963;;1.017;;;;;;;;;;;;
14516.964;;0.729;;;;;;;;;;;;
14528.965;;0.628;;;;;;;;;;;;
14539.964;;1.088;;;;;;;;;;;;
14550.966;;0.733;;;;;;;;;;;;
14561.963;;1.079;;;;;;;;;;;;
14575.963;;0.829;;;;;;;;;;;;
14586.963;4239;0.736;5.16;78;712874;1;0;0;29.8;0;7;88
14597.965;;1.079;;;;;;;;;;;;
14608.965;;0.734;;;;;;;;;;;;
14640.963;;0.714;;;;;;;;;;;;
14651.963;;0.730;;;;;;;;;;;;
14695.965;;0.802;;;;;;;;;;;;
14706.965;;0.733;;;;;;;;;;;;
14721.963;;0.721;;;;;;;;;;;;
14733.965;;0.733;;;;;;;;;;;;
14746.963;;1.086;;;;;;;;;;;;
14757.965;;0.725;;;;;;;;;;;;
14778.963;;0.738;;;;;;;;;;;;
